trialNumber,repeatNumber,rewardContingency,contrastLeft,contrastRight,correctResponse,choice,choiceCompleteTime,choiceStartTime,feedback,punishSoundOnsetTime,trialStartTime,preStimWaitTime,interactiveOnTime,feedbackTime,endTrialTime,environment,stimulusOnsetTime,goCueTime,rewardTime,rewardVolume
114,1,SymmetricReward,0,0.125,Right,Right,1366.2241182999,1366.02328389324,Rewarded,NaN,1364.62889449997,1364.62916209991,1365.90104004997,1366.47933899995,1375.0563384,Neutral,1365.22905562617,1365.953,1366.51370036326,3.5
115,1,SymmetricReward,0.25,0,Left,Left,1376.62263960007,1376.52410026174,Rewarded,NaN,1375.06340300001,1375.06366580003,1376.56835880002,1376.89105810004,1383.62958429998,Neutral,1375.90852238372,1376.6105,1376.92170034355,3.5
116,1,SymmetricReward,0,0,Right,Left,1387.90662425,1387.84292061999,Unrewarded,1388.236,1383.63703889993,1383.637307,1385.0064821,1388.19355685008,1398.9194996499,Neutral,1384.23154574534,1385.0585,NaN,NaN
117,1,SymmetricReward,0,0.5,Right,Right,1406.29087869998,1406.21392688993,Rewarded,NaN,1398.92724234995,1398.92751414992,1400.31443324999,1406.66559405008,1413.6347365001,Neutral,1399.52751554977,1400.3635,1406.69670035673,3.5
118,1,SymmetricReward,0,0.125,Right,Right,1418.7070089,1418.63581323437,Rewarded,NaN,1413.64213110006,1413.6423959001,1415.07193939993,1419.00631665008,1427.48902474984,Neutral,1414.2490359321,1415.121,1419.03770035673,3.5
119,1,SymmetricReward,0.125,0,Left,Left,1431.08996394987,1431.00192657951,Rewarded,NaN,1427.49677094992,1427.49703474983,1428.78046729998,1431.34263814997,1438.83408495004,Neutral,1428.09159832691,1428.8335,1431.37420035673,3.5
120,1,SymmetricReward,0.25,0,Left,Left,1440.29154994991,1440.04334946629,Rewarded,NaN,1438.84119595005,1438.84145775007,1440.20507385,1440.5178576,1448.95020894997,Neutral,1439.43719331654,1440.275,1440.55020037644,3.5
121,1,SymmetricReward,0.5,0,Left,Left,1452.14055734989,1452.06552931573,Rewarded,NaN,1448.95762165007,1448.95788935001,1451.94722564996,1452.50691590004,1459.12546105008,Neutral,1451.30955562477,1451.991,1452.53920036326,3.5
122,1,SymmetricReward,0,0.125,Right,Left,1460.52325149986,1460.27345571294,Unrewarded,1460.9465,1459.13245435001,1459.13273125002,1460.4538739,1460.91074489988,1470.74424284999,Neutral,1459.73504668351,1460.503,NaN,NaN
123,1,SymmetricReward,0,0.25,Right,Right,1479.72374220006,1479.54612547159,Rewarded,NaN,1470.75345825008,1470.75373945001,1473.85170029989,1480.03112619999,1488.46842770011,Neutral,1472.99154247429,1473.901,1480.06470036326,3.5
124,1,SymmetricReward,0.0625,0,Left,Left,1490.30791424995,1490.20186683815,Rewarded,NaN,1488.47660400008,1488.47687320004,1489.79324089992,1490.62002325,1498.46554454998,Neutral,1489.07201632653,1489.8445,1490.65120033702,3.5
125,1,SymmetricReward,0.5,0,Left,Left,1499.97514754988,1499.9001717167,Rewarded,NaN,1498.47279214999,1498.47309015004,1499.86195224989,1500.20056500006,1507.32975614991,Neutral,1499.07803801679,1499.912,1500.23270034355,3.5
126,1,SymmetricReward,0.0625,0,Left,Left,1510.30746425001,1510.25845708698,Rewarded,NaN,1507.33788054995,1507.33814704989,1510.26162474998,1510.5635545,1519.35537240002,Neutral,1509.36250865986,1510.317,1510.59670031087,3.5
127,1,SymmetricReward,0.125,0,Left,Left,1522.95813755004,1522.86315492913,Rewarded,NaN,1519.36287790001,1519.36328569998,1521.92499984999,1523.27203694999,1532.15876785002,Neutral,1521.26053113716,1521.975,1523.30470034355,3.5
128,1,SymmetricReward,0,0.25,Right,Left,1533.82417905005,1533.74818529282,Unrewarded,1534.266,1532.16601024999,1532.16627655004,1533.58866365009,1534.22545124998,1542.77347274998,Neutral,1532.76912916316,1533.6315,NaN,NaN
129,1,SymmetricReward,0,0,Left,Left,1553.44136840012,1553.3616900472,Rewarded,NaN,1542.78025315003,1542.78052545001,1543.99177025014,1553.79045844998,1560.42397530004,Neutral,1543.37562710745,1544.0485,1553.82220035673,3.5
130,1,SymmetricReward,0,0.125,Right,Left,1567.10865025013,1566.96410487685,Unrewarded,1567.5245,1560.43094929995,1560.43121730001,1562.34354555001,1567.49042095011,1577.97057274997,Neutral,1561.71602521327,1562.3915,NaN,NaN
131,1,SymmetricReward,0.25,0,Left,Left,1581.12450229994,1581.0467872005,Rewarded,NaN,1577.97837004997,1577.97863254999,1580.83881734998,1581.51145630004,1589.59986735007,Neutral,1580.16505299146,1580.884,1581.5422003502,3.5
132,1,SymmetricReward,0.25,0,Left,Left,1591.20873079996,1591.11691207439,Rewarded,NaN,1589.60754265008,1589.60781865008,1590.94267595001,1591.51063150004,1598.71853710001,Neutral,1590.21354420024,1590.9945,1591.54270038962,3.5
133,1,SymmetricReward,0.0625,0,Left,Left,1601.10929774994,1601.03521045018,Rewarded,NaN,1598.7262568,1598.72652869998,1599.97822070005,1601.47615745,1609.31739395007,Neutral,1599.32168120569,1600.023,1601.50770033038,3.5
134,1,SymmetricReward,0,0.0625,Right,Right,1611.04250790004,1610.98139532562,Rewarded,NaN,1609.32412635011,1609.32439075003,1610.53656600008,1611.30898289999,1620.00899204996,Neutral,1609.92035034171,1610.5825,1611.34220034355,3.5
135,1,SymmetricReward,0,0.125,Right,Right,1625.22556960001,1625.1415401483,Rewarded,NaN,1620.01688074996,1620.01715414994,1622.14933850011,1625.56954440009,1632.92250160011,Neutral,1621.53394610954,1622.1935,1625.60320033038,3.5
136,1,SymmetricReward,0.5,0,Left,Left,1635.77709659992,1635.72291751578,Rewarded,NaN,1632.93042100011,1632.93068770005,1635.29892724997,1636.13928594987,1643.40831770003,Neutral,1634.65354698986,1635.347,1636.17170036326,3.5
137,1,SymmetricReward,0,0,Right,Left,1645.35901919997,1645.31277489569,Unrewarded,1645.6665,1643.41590360005,1643.4161703001,1644.65509934991,1645.63132350007,1655.20857699995,Neutral,1644.01551981404,1644.7065,NaN,NaN
138,1,SymmetricReward,0,0.25,Right,Left,1656.67501564999,1656.42709425651,Unrewarded,1656.9865,1655.21583479992,1655.21611619997,1656.61818804999,1656.95028395008,1667.86268250016,Neutral,1655.81405210781,1656.668,NaN,NaN
139,1,SymmetricReward,0,0.125,Right,Left,1671.37574214989,1671.26271207072,Unrewarded,1671.8095,1667.87007010006,1667.87033820013,1669.21919299988,1671.76559724996,1680.23509204993,Neutral,1668.47054688587,1669.265,NaN,NaN
140,1,SymmetricReward,0,0.5,Right,Right,1684.24252854998,1684.16796440911,Rewarded,NaN,1680.24220364995,1680.24246614997,1681.46322819998,1684.58958289993,1693.24089274998,Neutral,1680.8425392485,1681.511,1684.62170035673,3.5
141,1,SymmetricReward,0.125,0,Left,Left,1695.51117724995,1695.41861776821,Rewarded,NaN,1693.24849464989,1693.24876714998,1694.61982525,1695.91404095001,1703.08304165001,Neutral,1693.84776322036,1694.665,1695.94570031067,3.5
142,1,SymmetricReward,0,0,Right,Left,1710.84245660005,1710.75309407618,Unrewarded,1711.1945,1703.09044914995,1703.0907177499,1706.98108075,1711.15454995004,1721.27545875008,Neutral,1706.19557086467,1707.0285,NaN,NaN
143,1,SymmetricReward,0.0625,0,Left,Left,1722.69468710001,1722.52119692881,Rewarded,NaN,1721.28284145007,1721.28310055006,1722.61734520004,1723.09239809995,1730.85417784995,Neutral,1721.88780000002,1722.6695,1723.12720034355,3.5
144,1,SymmetricReward,0,0.125,Right,Left,1732.52630300005,1732.46738180425,Unrewarded,1732.805,1730.86150564998,1730.86179865,1732.33941219992,1732.76933789998,1743.74081414996,Neutral,1731.45754445848,1732.384,NaN,NaN
145,1,SymmetricReward,0.25,0,Left,Left,1745.49349450006,1745.30136864353,Rewarded,NaN,1743.74855555,1743.74882114993,1745.24374569999,1745.85733164998,1754.72533519985,Neutral,1744.34353284345,1745.3195,1745.88870031067,3.5
146,1,SymmetricReward,0,0,Left,Left,1758.87675290008,1758.72407047544,Rewarded,NaN,1754.73238079983,1754.73264759989,1755.93289714993,1759.12184189993,1768.33944514988,Neutral,1755.33995395898,1755.981,1759.15470037644,3.5
147,1,SymmetricReward,0,0.0625,Right,Left,1771.09333745006,1771.04680482112,Unrewarded,1771.517,1768.34730974992,1768.3475819499,1769.71748005005,1771.47483245004,1779.59460940002,Neutral,1768.95404094088,1769.7865,NaN,NaN
148,1,SymmetricReward,0.125,0,Left,Left,1781.19294039987,1781.11692969501,Rewarded,NaN,1779.60172739998,1779.60199529992,1780.93957090005,1781.41180889984,1788.76678664994,Neutral,1780.20095946749,1780.9875,1781.44270035673,3.5
149,1,SymmetricReward,0,0,Left,Left,1794.89381989988,1794.75342802424,Rewarded,NaN,1788.77450664993,1788.77486795001,1791.27961435006,1795.2748097498,1803.67037205002,Neutral,1790.55254285278,1791.3305,1795.30670036326,3.5
150,1,SymmetricReward,0,0,Right,Left,1810.86103535001,1810.7912638234,Unrewarded,1811.167,1803.67830355,1803.67858095001,1805.64947539999,1811.12450215011,1820.45085299993,Neutral,1804.75604005135,1805.697,NaN,NaN
151,1,SymmetricReward,0,0.0625,Right,Left,1821.89452864986,1821.80333268549,Unrewarded,1822.157,1820.45864910004,1820.45892559993,1821.6567492499,1822.11629555002,1831.03418039985,Neutral,1821.06253426131,1821.708,NaN,NaN
152,1,SymmetricReward,0.25,0,Left,Left,1832.52761434997,1832.33203555364,Rewarded,NaN,1831.04127019993,1831.04153809987,1832.44964409992,1832.90239244991,1841.96674035012,Neutral,1831.63954705882,1832.497,1832.93420036326,3.5
153,1,SymmetricReward,0,0.5,Right,Left,1843.36152759998,1843.16748991795,Unrewarded,1843.771,1841.9739081501,1841.97419305006,1843.31912130001,1843.73100384988,1853.80268580001,Neutral,1842.57255111865,1843.363,NaN,NaN
154,2,SymmetricReward,0,0.5,Right,Right,1855.31101984996,1855.06263126899,Rewarded,NaN,1853.80990300002,1853.8101764,1855.01755314996,1855.54658349999,1864.0867789,Neutral,1854.4100362444,1855.0625,1855.57620035009,3.5
155,1,SymmetricReward,0,0.25,Right,Left,1884.99477074994,1884.89808739536,Unrewarded,1885.429,1864.09626899997,1864.09654689999,1865.61863679998,1885.38588209997,1896.36122299999,Neutral,1864.97605096643,1865.6665,NaN,NaN
156,1,SymmetricReward,0.125,0,Left,Left,1897.86181765003,1897.67630123533,Rewarded,NaN,1896.37055849994,1896.37083779997,1897.57471325004,1898.15821979987,1905.44911739998,Neutral,1896.96804550425,1897.6245,1898.18870034355,3.5
157,1,SymmetricReward,0,0.0625,Right,Left,1909.21236905002,1909.15624359157,Unrewarded,1909.468,1905.45701169991,1905.457375,1906.72534260002,1909.42975655,1919.70808040013,Neutral,1906.06138157251,1906.7725,NaN,NaN
158,1,SymmetricReward,0,0,Left,Left,1936.06201194995,1935.99854875542,Rewarded,NaN,1919.71504220017,1919.71530070016,1922.01067895,1936.27741764998,1944.13102570002,Neutral,1921.14002430372,1922.087,1936.31020034355,3.5
