animalID,recordingDate,recordingID,sessionName,learningData,twoP,ROI,path,sessionNameWithPath,analysispathname,filepathname,eventTimesExtracted,eventTimesPath,imagingDataExtracted,imagingDataPath
OFZ011,2023-07-26,2,2023-07-26_2_OFZ011,False,True,11,Z:/OFZ011\2023-07-26,Z:/OFZ011\2023-07-26\2\2023-07-26_2_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-26_OFZ011_2\,Z:/OFZ011\2023-07-26\2,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-26_OFZ011_2\2023-07-26_2_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-26_OFZ011_2\imaging-data.pkl
OFZ011,2023-07-26,3,2023-07-26_3_OFZ011,False,True,11,Z:/OFZ011\2023-07-26,Z:/OFZ011\2023-07-26\3\2023-07-26_3_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-26_OFZ011_3\,Z:/OFZ011\2023-07-26\3,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-26_OFZ011_3\2023-07-26_3_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-26_OFZ011_3\imaging-data.pkl
OFZ011,2023-07-24,1,2023-07-24_1_OFZ011,False,True,0,Z:/OFZ011\2023-07-24,Z:/OFZ011\2023-07-24\1\2023-07-24_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-24_OFZ011_1\,Z:/OFZ011\2023-07-24\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-24_OFZ011_1\2023-07-24_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-24_OFZ011_1\imaging-data.pkl
OFZ011,2023-07-25,1,2023-07-25_1_OFZ011,False,True,0,Z:/OFZ011\2023-07-25,Z:/OFZ011\2023-07-25\1\2023-07-25_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-25_OFZ011_1\,Z:/OFZ011\2023-07-25\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-25_OFZ011_1\2023-07-25_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-25_OFZ011_1\imaging-data.pkl
OFZ011,2023-07-27,1,2023-07-27_1_OFZ011,False,True,11,Z:/OFZ011\2023-07-27,Z:/OFZ011\2023-07-27\1\2023-07-27_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-27_OFZ011_1\,Z:/OFZ011\2023-07-27\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-27_OFZ011_1\2023-07-27_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-27_OFZ011_1\imaging-data.pkl
OFZ011,2023-07-27,2,2023-07-27_2_OFZ011,False,True,11,Z:/OFZ011\2023-07-27,Z:/OFZ011\2023-07-27\2\2023-07-27_2_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-27_OFZ011_2\,Z:/OFZ011\2023-07-27\2,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-27_OFZ011_2\2023-07-27_2_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-27_OFZ011_2\imaging-data.pkl
OFZ011,2023-07-27,3,2023-07-27_3_OFZ011,False,True,11,Z:/OFZ011\2023-07-27,Z:/OFZ011\2023-07-27\3\2023-07-27_3_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-27_OFZ011_3\,Z:/OFZ011\2023-07-27\3,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-27_OFZ011_3\2023-07-27_3_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-27_OFZ011_3\imaging-data.pkl
OFZ011,2023-07-28,1,2023-07-28_1_OFZ011,False,True,11,Z:/OFZ011\2023-07-28,Z:/OFZ011\2023-07-28\1\2023-07-28_1_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-28_OFZ011_1\,Z:/OFZ011\2023-07-28\1,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-28_OFZ011_1\2023-07-28_1_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-28_OFZ011_1\imaging-data.pkl
OFZ011,2023-07-28,2,2023-07-28_2_OFZ011,False,True,11,Z:/OFZ011\2023-07-28,Z:/OFZ011\2023-07-28\2\2023-07-28_2_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-28_OFZ011_2\,Z:/OFZ011\2023-07-28\2,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-28_OFZ011_2\2023-07-28_2_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-28_OFZ011_2\imaging-data.pkl
OFZ011,2023-07-28,3,2023-07-28_3_OFZ011,False,True,11,Z:/OFZ011\2023-07-28,Z:/OFZ011\2023-07-28\3\2023-07-28_3_OFZ011_Block.mat,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-28_OFZ011_3\,Z:/OFZ011\2023-07-28\3,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-28_OFZ011_3\2023-07-28_3_OFZ011_CorrectedeventTimes.csv,0.0,C:/Users/Lak Lab/Documents/Github/sideBiasLateralisation\analysis\2023-07-28_OFZ011_3\imaging-data.pkl
